product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColdBrew,https://onyxcoffeelab.com/products/cold-brew,Colombia,Washed,Moderate,85,410.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Cold Brew,,Cocoa Dates Brown Sugar Stone Fruit Creamy,"COCOA, DATES, BROWN SUGAR, STONE FRUIT, CREAMY","chocolate, caramel, sweet, fruity, body",93548,Today at 11:41 am,439.2,14,817,13.616666666666667,818,439.2,414.7,165.6,439.2,165.6,100
ColombiaJhoanVergaraJava,https://onyxcoffeelab.com/products/colombia-jhoan-vergara-java-25,Colombia,Anaerobic Natural,Moderate,112,405.0,Java,,,,Raised-Bed Dried,November,Diedrich CR-35,Filter & Espresso,,Cherry Mixed Berries Violet Fruit Punch,"CHERRY, MIXED BERRIES, VIOLET, FRUIT PUNCH",fruity,93522,Today at 8:46 am,420.6,12,712,11.866666666666667,713,420.6,396.3,167.9,420.6,167.9,74
ColombiaMauricioShattahPinkBourbon,https://onyxcoffeelab.com/products/colombia-mauricio-shattah-pink-bourbon,Colombia,Anaerobic Natural,Light,123,395.0,Pink Bourbon,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Pink Guava Green Apple Caramel Watermelon Candy,"PINK GUAVA, GREEN APPLE, CARAMEL, WATERMELON CANDY","fruity, caramel",93527,Today at 9:28 am,412.3,12,707,11.783333333333333,708,412.3,398.1,163.8,412.3,163.8,71
Eclipse,https://onyxcoffeelab.com/products/eclipse,Colombia,Washed,Dark,62,415.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-35,Filter,262.0,Baker's Chocolate Burnt Sugar Smoked Vanilla Bean,"BAKER'S CHOCOLATE, BURNT SUGAR, SMOKED VANILLA BEAN","chocolate, sweet",93521,Today at 8:41 am,447.4,14,849,14.15,850,447.4,430.3,162.1,447.4,162.1,97
EcuadorJoseJijon,https://onyxcoffeelab.com/products/ecuador-jose-jijon-25,Ecuador,Dry Washed,Moderate,120,395.0,Typica Mejorado,,,,Raised-Bed Dried,September,Diedrich CR-35,Filter & Espresso,,Orange Blossom Pear Raw Sugar Papaya,"ORANGE BLOSSOM, PEAR, RAW SUGAR, PAPAYA","citrus, sweet",93524,Today at 9:08 am,417.9,11,663,11.05,664,417.9,397.4,163.0,417.9,163.0,67
EthiopiaBochesaAnaerobicWashed,https://onyxcoffeelab.com/products/ethiopia-bochesa-anaerobic-washed,Ethiopia,Anaerobic Washed,Expressive Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Peach Jasmine Yellow Pear Caramel,"PEACH, JASMINE, YELLOW PEAR, CARAMEL","fruity, floral, caramel",93545,Today at 11:22 am,419.2,11,642,10.7,643,419.2,398.3,162.9,419.2,162.9,70
EthiopiaBochesaNatural,https://onyxcoffeelab.com/products/ethiopia-bochesa-natural,Ethiopia,Natural,Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Tangerine Honey Pastry Plum Vanilla,"TANGERINE, HONEY PASTRY, PLUM, VANILLA","citrus, sweet, fruity",93549,Today at 11:47 am,417.9,11,640,10.666666666666666,641,417.9,400.6,164.1,417.9,164.1,69
EthiopiaGeraEstateAnaerobic,https://onyxcoffeelab.com/products/ethiopia-gera-estate-anaerobic,Ethiopia,Anaerobic Natural,Expressive Light,127,395.0,Landrace,,,,Raised-Bed Dried,October,Diedrich CR-35,Filter & Espresso,,Raspberry Magnolia Watermelon Vanilla,"RASPBERRY, MAGNOLIA, WATERMELON, VANILLA","fruity, sweet",93533,Today at 10:16 am,414.1,11,675,11.25,676,414.1,403.3,159.4,414.1,159.4,71
Geometry,https://onyxcoffeelab.com/products/geometry,"Colombia, Ethiopia",Washed,Expressive Light,135,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Berries Stone Fruit Earl Grey Honeysuckle Round,"BERRIES, STONE FRUIT, EARL GREY, HONEYSUCKLE, ROUND","fruity, tea, floral, sweet, body",93563,Today at 1:16 pm,425.9,9,560,9.333333333333334,561,425.9,404.4,144.8,426.8,144.8,37
KenyaGichangiEstateAA,https://onyxcoffeelab.com/products/kenya-gichangi-estate-aa,Kenya,Dry Washed,Expressive Light,129,395.0,"SL28, SL34, Ruiru 11, Batian",,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Applesauce Grapefruit Brown Sugar Nutmeg,"APPLESAUCE, GRAPEFRUIT, BROWN SUGAR, NUTMEG","fruity, citrus, caramel, sweet, nutty, spice",93528,Today at 9:41 am,412,10,627,10.45,628,412.0,398.8,159.4,412.0,159.4,74
